
time,ax,ay,az,wx,wy,wz,
0.202560,0.12,0.03,1.22,0.00,-0.07,-0.04,
0.202877,0.09,0.06,0.78,0.00,-0.07,-0.04,
0.203164,0.09,0.06,0.78,-0.02,-0.05,-0.02,
0.203381,0.09,0.06,0.78,-0.02,-0.05,-0.02,
0.203690,0.09,0.06,0.78,-0.03,-0.02,-0.01,
0.203908,-0.33,-0.31,0.48,-0.03,-0.02,-0.01,
0.204511,-0.33,-0.31,0.48,-0.03,0.01,-0.01,
0.204837,-0.33,-0.31,0.48,-0.03,0.01,-0.01,
0.205181,-0.33,-0.31,0.48,-0.01,0.02,-0.01,
0.205553,-0.38,-0.34,1.61,-0.01,0.02,-0.01,
0.205842,-0.38,-0.34,1.61,0.01,0.02,-0.03,
0.206122,-0.38,-0.34,1.61,0.01,0.02,-0.03,
0.218284,-0.38,-0.34,1.61,0.02,-0.00,-0.04,
0.218953,-0.22,-1.09,1.07,0.02,-0.00,-0.04,
0.219341,-0.22,-1.09,1.07,0.03,-0.02,-0.05,
0.219790,-0.22,-1.09,1.07,0.03,-0.02,-0.05,
0.220118,-0.22,-1.09,1.07,0.04,-0.06,-0.05,
0.220437,0.38,-0.02,0.14,0.04,-0.06,-0.05,
0.220735,0.38,-0.02,0.14,0.03,-0.07,-0.04,
0.221029,0.38,-0.03,0.15,0.03,-0.07,-0.04,
0.221330,0.38,-0.03,0.15,0.03,-0.02,-0.02,
0.221622,-0.28,0.08,0.21,0.03,-0.02,-0.02,
0.222227,-0.28,0.08,0.21,0.02,0.06,-0.01,
0.223029,-0.28,0.08,0.21,0.02,0.06,-0.01,
0.223835,-0.28,0.08,0.21,0.03,0.12,-0.01,
0.224200,-0.73,-0.39,1.81,0.03,0.12,-0.01,
0.231469,-0.73,-0.39,1.81,0.04,0.15,-0.01,
0.232233,-0.73,-0.39,1.81,0.04,0.15,-0.01,
0.232608,-0.73,-0.39,1.81,0.03,0.12,-0.02,
0.232967,-0.55,-1.12,0.56,0.03,0.12,-0.02,
0.238154,-0.55,-1.12,0.56,0.03,0.04,-0.04,
0.238418,-0.55,-1.12,0.56,0.03,0.04,-0.04,
0.238700,-0.55,-1.12,0.56,0.03,-0.04,-0.05,
0.238937,-0.09,0.04,0.37,0.03,-0.04,-0.05,
