
time,ax,ay,az,wx,wy,wz,
0.242532,-0.35,-0.56,2.19,-0.01,0.01,0.00,
0.242836,-0.35,-0.56,2.19,-0.01,0.01,-0.01,
0.243138,-0.35,-0.56,2.19,-0.01,0.01,-0.01,
0.243413,-0.35,-0.56,2.19,-0.01,-0.00,-0.02,
0.243651,-0.42,-1.17,1.14,-0.01,-0.00,-0.02,
0.243881,-0.42,-1.17,1.14,-0.02,-0.04,-0.02,
0.244102,-0.42,-1.17,1.14,-0.02,-0.04,-0.02,
0.248375,-0.42,-1.17,1.14,-0.03,-0.07,-0.02,
0.248697,-0.17,-0.61,0.60,-0.03,-0.07,-0.02,
0.248935,-0.17,-0.61,0.60,-0.02,-0.10,-0.01,
0.249148,-0.17,-0.61,0.60,-0.02,-0.10,-0.01,
0.256036,-0.17,-0.61,0.60,-0.01,-0.10,-0.01,
0.256596,-0.35,-0.46,1.46,-0.01,-0.10,-0.01,
0.256971,-0.35,-0.46,1.46,-0.00,-0.07,0.00,
0.257326,-0.35,-0.46,1.46,-0.00,-0.07,0.00,
0.257643,-0.35,-0.46,1.46,0.01,-0.04,0.00,
0.258174,-0.00,0.03,1.84,0.01,-0.04,0.00,
0.258479,-0.00,0.03,1.84,0.03,-0.01,0.00,
0.258728,-0.00,0.03,1.84,0.03,-0.01,0.00,
0.260618,-0.00,0.03,1.84,0.03,0.04,-0.00,
0.261014,-0.40,-0.19,1.52,0.03,0.04,-0.00,
0.262705,-0.40,-0.19,1.52,0.04,0.07,-0.01,
0.263087,-0.39,-0.19,1.52,0.04,0.07,-0.01,
0.265151,-0.39,-0.19,1.52,0.04,0.07,-0.02,
0.265464,-0.39,0.08,1.19,0.04,0.07,-0.02,
0.267665,-0.39,0.08,1.19,0.04,0.05,-0.02,
0.268079,-0.39,0.08,1.19,0.04,0.05,-0.02,
0.270316,-0.39,0.08,1.19,0.03,0.02,-0.02,
0.270675,-0.45,-0.53,0.92,0.03,0.02,-0.02,
0.272958,-0.45,-0.53,0.92,0.02,-0.01,-0.01,
0.273298,-0.45,-0.53,0.92,0.02,-0.01,-0.01,
0.276089,-0.45,-0.53,0.92,0.02,-0.02,-0.01,
0.276579,-0.47,-0.14,1.97,0.02,-0.02,-0.01,
0.278287,-0.47,-0.14,1.97,0.02,-0.04,-0.00,
0.278737,-0.47,-0.14,1.97,0.02,-0.04,-0.00,
0.280314,-0.47,-0.14,1.97,0.02,-0.05,0.00,
0.280796,-0.39,-0.47,2.18,0.02,-0.05,0.00,
0.282991,-0.39,-0.47,2.18,0.02,-0.04,0.01,
0.283386,-0.39,-0.47,2.18,0.02,-0.04,0.01,
0.285293,-0.39,-0.47,2.18,-0.00,-0.03,0.01,
0.285624,-0.63,-0.85,1.09,-0.00,-0.03,0.01,
0.287565,-0.63,-0.85,1.09,-0.01,-0.04,0.01,
0.287937,-0.63,-0.85,1.09,-0.01,-0.04,0.01,
0.290426,-0.63,-0.85,1.09,-0.01,-0.07,0.00,
0.290795,-0.00,-0.55,0.96,-0.01,-0.07,0.00,
0.293251,-0.00,-0.55,0.96,-0.01,-0.10,-0.00,
0.293845,-0.00,-0.55,0.96,-0.01,-0.10,-0.00,
0.295933,-0.00,-0.55,0.96,-0.00,-0.09,-0.00,
0.296923,-0.45,-0.62,0.95,-0.00,-0.09,-0.00,
0.298134,-0.45,-0.62,0.95,0.01,-0.07,-0.00,
0.298546,-0.45,-0.62,0.95,0.01,-0.07,-0.00,
0.300811,-0.45,-0.62,0.95,0.03,-0.06,-0.00,
0.301239,0.25,0.46,1.43,0.03,-0.06,-0.00,
0.302924,0.25,0.46,1.43,0.04,-0.06,-0.00,
